feature_name,category,subcategory,source_module,formula,description,importance_e1,rank_e1,pct_e1,importance_e8,rank_e8,pct_e8
funding_rate_14,市场结构,模拟资金费率,src/features/market_structure.py,close.pct_change().rolling(14).mean() * 100,基于价格动量模拟的 14 日资金费率代理 (无外部 OI 数据时使用),79,1,5.26,166,1,11.94
high_50d_dist,技术指标,极值距离,src/features/technical.py,(close - high.rolling(50).max()) / close,"距 50 日最高价的百分比, 0=刚创新高 / 负=回撤",32,4,2.13,84,2,6.04
low_50d_dist,技术指标,极值距离,src/features/technical.py,(close - low.rolling(50).min()) / close,"距 50 日最低价的百分比, 衡量反弹强度",23,14,1.53,57,3,4.1
return_3d,技术指标,收益率,src/features/technical.py,close.pct_change(3),过去 3 日累计收益率,23,14,1.53,46,4,3.31
obv,量能,OBV,src/features/volume.py,(sign(close.diff()) * volume).cumsum(),"On-Balance Volume, 累积净成交量, 衡量资金累积/派发",33,3,2.2,31,8,2.23
return_14d,技术指标,收益率,src/features/technical.py,close.pct_change(14),过去 14 日累计收益率,23,14,1.53,39,5,2.81
bb_pctb_20,技术指标,布林带,src/features/technical.py,(close - bb_lower_20) / (bb_upper_20 - bb_lower_20),"价格在布林带中的相对位置, 0=下轨 / 1=上轨",16,42,1.07,39,5,2.81
macd,技术指标,MACD,src/features/technical.py,ema_12 - ema_26,"MACD 快慢线之差, 衡量动量方向",22,18,1.47,30,10,2.16
obv_sma_20,量能,OBV,src/features/volume.py,obv.rolling(20).mean(),"OBV 20 日均线, 用于趋势确认",29,5,1.93,23,14,1.65
volatility_20d,技术指标,波动率,src/features/technical.py,close.pct_change().rolling(20).std(),过去 20 日日收益率标准差,43,2,2.86,6,59,0.43
vol_volatility_10,量能,成交量波动,src/features/volume.py,volume.pct_change().rolling(10).std(),"10 日成交量波动率, 高 = 资金流动不稳定",21,23,1.4,27,11,1.94
obv_sma_10,量能,OBV,src/features/volume.py,obv.rolling(10).mean(),"OBV 10 日均线, 用于趋势确认",21,23,1.4,24,12,1.73
buy_pressure_ma_5,市场结构,买入压力,src/features/market_structure.py,buy_pressure.rolling(5).mean(),"买压 5 日均值, 平滑后看趋势性多/空",24,11,1.6,19,17,1.37
cvd_ma_7,市场结构,CVD,src/features/market_structure.py,cvd.rolling(7).mean(),CVD 7 日均值,18,35,1.2,21,16,1.51
sma_200,技术指标,简单移动平均(SMA),src/features/technical.py,close.rolling(200).mean(),过去 200 日收盘价简单算术平均，代表中长期趋势中枢,25,8,1.67,13,32,0.94
ext_fgi_std_14,外部数据,FGI 恐惧贪婪,src/features/external.py,ext_fgi.rolling(14).std(),"FGI 14 日标准差, 情绪波动率, 高=市场分歧大",29,5,1.93,8,51,0.58
atr_pct_21,技术指标,ATR 真实波动,src/features/technical.py,atr_21 / close,"ATR 占价格百分比, 跨币种/跨价位可比的波动指标",22,18,1.47,15,24,1.08
return_21d,技术指标,收益率,src/features/technical.py,close.pct_change(21),过去 21 日累计收益率,13,52,0.87,24,12,1.73
vol_volatility_20,量能,成交量波动,src/features/volume.py,volume.pct_change().rolling(20).std(),"20 日成交量波动率, 高 = 资金流动不稳定",20,27,1.33,16,22,1.15
buy_pressure_ma_20,市场结构,买入压力,src/features/market_structure.py,buy_pressure.rolling(20).mean(),"买压 20 日均值, 平滑后看趋势性多/空",5,77,0.33,31,8,2.23
cvd_change_7,市场结构,CVD,src/features/market_structure.py,cvd.pct_change(7),"CVD 7 日变化率, 衡量买卖力量切换速度",22,18,1.47,14,25,1.01
vol_price_corr_10,量能,量价相关,src/features/volume.py,volume.rolling(10).corr(close),"10 日量价滚动相关系数, 正=共振上涨 / 负=背离",26,7,1.73,10,44,0.72
high_14d_dist,技术指标,极值距离,src/features/technical.py,(close - high.rolling(14).max()) / close,"距 14 日最高价的百分比, 0=刚创新高 / 负=回撤",2,105,0.13,33,7,2.37
cvd_change_14,市场结构,CVD,src/features/market_structure.py,cvd.pct_change(14),"CVD 14 日变化率, 衡量买卖力量切换速度",20,27,1.33,14,25,1.01
ema_100,技术指标,指数移动平均(EMA),src/features/technical.py,close.ewm(span=100).mean(),过去 100 日指数加权均价，权重按 (1-α)^k 衰减，对近期价格更敏感,24,11,1.6,10,44,0.72
volatility_5d,技术指标,波动率,src/features/technical.py,close.pct_change().rolling(5).std(),过去 5 日日收益率标准差,16,42,1.07,18,19,1.29
trades_sma_20,市场结构,交易笔数,src/features/market_structure.py + flow.py,trades.rolling(20).mean(),20 日均交易笔数 (反映参与者活跃度),22,18,1.47,12,36,0.86
funding_rate_24,市场结构,模拟资金费率,src/features/market_structure.py,close.pct_change().rolling(24).mean() * 100,基于价格动量模拟的 24 日资金费率代理 (无外部 OI 数据时使用),22,18,1.47,12,36,0.86
price_vs_vwap_20,量能,VWAP,src/features/volume.py,(close - vwap_20) / vwap_20,"价格偏离 20 日 VWAP 的百分比, 衡量大资金成本线偏离度",19,33,1.27,14,25,1.01
ema_200,技术指标,指数移动平均(EMA),src/features/technical.py,close.ewm(span=200).mean(),过去 200 日指数加权均价，权重按 (1-α)^k 衰减，对近期价格更敏感,20,27,1.33,12,36,0.86
atr_21,技术指标,ATR 真实波动,src/features/technical.py,"TR.rolling(21).mean(), TR=max(H-L, |H-C₋₁|, |L-C₋₁|)","21 日平均真实波动幅度, 绝对值, 用于止损宽度参考",15,45,1.0,17,20,1.22
cvd_change_21,市场结构,CVD,src/features/market_structure.py,cvd.pct_change(21),"CVD 21 日变化率, 衡量买卖力量切换速度",25,8,1.67,6,59,0.43
atr_14,技术指标,ATR 真实波动,src/features/technical.py,"TR.rolling(14).mean(), TR=max(H-L, |H-C₋₁|, |L-C₋₁|)","14 日平均真实波动幅度, 绝对值, 用于止损宽度参考",21,23,1.4,10,44,0.72
buy_pressure_ma_10,市场结构,买入压力,src/features/market_structure.py,buy_pressure.rolling(10).mean(),"买压 10 日均值, 平滑后看趋势性多/空",17,37,1.13,14,25,1.01
ext_fgi_price_divergence,外部数据,FGI 恐惧贪婪,src/features/external.py,ext_fgi.pct_change(7) - close.pct_change(7),"情绪与价格背离 (7d), 价格涨但情绪转空 → 潜在顶部",14,49,0.93,16,22,1.15
volatility_10d,技术指标,波动率,src/features/technical.py,close.pct_change().rolling(10).std(),过去 10 日日收益率标准差,24,11,1.6,6,59,0.43
low_21d_dist,技术指标,极值距离,src/features/technical.py,(close - low.rolling(21).min()) / close,"距 21 日最低价的百分比, 衡量反弹强度",17,37,1.13,13,32,0.94
return_1d,技术指标,收益率,src/features/technical.py,close.pct_change(1),过去 1 日累计收益率,18,35,1.2,11,43,0.79
